"","day","time","junk1","junk2","Nflasks","quality","co2","date"
"223","1971-11-01"," 08:45",26238.36,1971.834,2,4,NA,1971-11-01 08:45:00
"224","1971-11-17"," 08:45",26254.36,1971.878,2,4,NA,1971-11-17 08:45:00
"225","1971-12-06"," 14:50",26273.62,1971.93,2,0,325.88,1971-12-06 14:50:00
"226","1971-12-14"," 08:55",26281.37,1971.952,2,0,326.06,1971-12-14 08:55:00
"227","1971-12-29"," 08:55",26296.37,1971.993,2,0,326.1,1971-12-29 08:55:00
"228","1972-01-14"," 13:20",26312.56,1972.037,2,0,326.74,1972-01-14 13:20:00
"229","1972-02-01"," 08:20",26330.35,1972.086,2,0,327.68,1972-02-01 08:20:00
"230","1972-02-14"," 08:50",26343.37,1972.121,2,0,328.29,1972-02-14 08:50:00
"231","1972-03-02"," 09:47",26360.41,1972.168,2,0,326.73,1972-03-02 09:47:00
"232","1972-03-15"," 08:20",26373.35,1972.203,2,0,329.88,1972-03-15 08:20:00
"233","1972-04-01"," 12:55",26390.54,1972.25,2,0,328.91,1972-04-01 12:55:00
"234","1972-04-13"," 08:15",26402.34,1972.282,2,0,330.17,1972-04-13 08:15:00
"235","1972-05-04"," 08:40",26423.36,1972.34,2,0,330.39,1972-05-04 08:40:00
"236","1972-05-17"," 16:05",26436.67,1972.376,2,5,NA,1972-05-17 16:05:00
"237","1972-05-31"," 15:10",26450.63,1972.414,2,0,330.27,1972-05-31 15:10:00
"238","1972-06-13"," 08:10",26463.34,1972.449,2,0,329.45,1972-06-13 08:10:00
"239","1972-07-25"," 18:52",26505.79,1972.565,4,4,NA,1972-07-25 18:52:00
"240","1972-07-26"," 01:07",26506.05,1972.566,2,0,328.08,1972-07-26 01:07:00
"241","1972-08-17"," 15:30",26528.65,1972.627,2,0,326.76,1972-08-17 15:30:00
"242","1972-09-01"," 12:40",26543.53,1972.668,2,0,326.15,1972-09-01 12:40:00
"243","1972-09-19"," 16:20",26561.68,1972.718,2,0,323.7,1972-09-19 16:20:00
"244","1972-09-29"," 08:45",26571.36,1972.744,2,4,NA,1972-09-29 08:45:00
"245","1972-10-18"," 16:50",26590.7,1972.797,2,0,324.83,1972-10-18 16:50:00
"246","1972-10-30"," 14:20",26602.6,1972.83,2,0,326.19,1972-10-30 14:20:00
"247","1972-11-14"," 08:30",26617.35,1972.87,2,0,326.1,1972-11-14 08:30:00
"248","1972-11-27"," 17:30",26630.73,1972.906,2,0,327.79,1972-11-27 17:30:00
"249","1972-12-14"," 09:00",26647.38,1972.952,2,0,327.74,1972-12-14 09:00:00
"250","1973-01-03"," 15:15",26667.64,1973.007,2,0,328.22,1973-01-03 15:15:00
"251","1973-01-15"," 09:00",26679.38,1973.039,2,0,328.76,1973-01-15 09:00:00
"252","1973-01-30"," 16:10",26694.67,1973.081,2,0,329.04,1973-01-30 16:10:00
"253","1973-02-16"," 17:00",26711.71,1973.128,2,0,328.98,1973-02-16 17:00:00
"254","1973-02-27"," 07:00",26722.29,1973.157,2,0,329.7,1973-02-27 07:00:00
"255","1973-03-16"," 16:15",26739.68,1973.205,2,0,330.14,1973-03-16 16:15:00
"256","1973-04-17"," 08:45",26771.36,1973.291,2,0,331.4,1973-04-17 08:45:00
"257","1973-05-01"," 08:25",26785.35,1973.33,2,0,332.32,1973-05-01 08:25:00
"258","1973-05-16"," 08:28",26800.35,1973.371,2,0,332.84,1973-05-16 08:28:00
"259","1973-06-01"," 12:57",26816.54,1973.415,2,0,332.18,1973-06-01 12:57:00
"260","1973-06-14"," 08:55",26829.37,1973.45,2,0,332.38,1973-06-14 08:55:00
"261","1973-07-02"," 08:25",26847.35,1973.5,2,0,331.18,1973-07-02 08:25:00
"262","1973-08-17"," 10:25",26893.43,1973.626,2,0,328.87,1973-08-17 10:25:00
"263","1973-08-29"," 15:55",26905.66,1973.659,2,5,NA,1973-08-29 15:55:00
"264","1973-10-11"," 15:05",26948.63,1973.777,2,0,327.25,1973-10-11 15:05:00
"265","1973-10-31"," 11:25",26968.48,1973.831,2,0,327.69,1973-10-31 11:25:00
"266","1973-11-30"," 12:45",26998.53,1973.914,2,0,329.09,1973-11-30 12:45:00
"267","1973-12-12"," 16:47",27010.7,1973.947,3,0,329.1,1973-12-12 16:47:00
"268","1974-01-02"," 12:36",27031.53,1974.004,2,0,329.31,1974-01-02 12:36:00
"269","1974-01-14"," 11:37",27043.48,1974.037,2,0,330.25,1974-01-14 11:37:00
"270","1974-01-31"," 13:07",27060.55,1974.084,1,4,NA,1974-01-31 13:07:00
"271","1974-02-14"," 14:40",27074.61,1974.122,2,0,329.84,1974-02-14 14:40:00
"272","1974-02-28"," 14:40",27088.61,1974.161,2,0,329.44,1974-02-28 14:40:00
"273","1974-03-28"," 15:35",27116.65,1974.237,2,0,330.3,1974-03-28 15:35:00
"274","1974-04-16"," 15:10",27135.63,1974.289,2,0,332.59,1974-04-16 15:10:00
"275","1974-04-30"," 10:10",27149.42,1974.327,2,0,332.76,1974-04-30 10:10:00
"276","1974-05-15"," 14:40",27164.61,1974.369,2,0,332.34,1974-05-15 14:40:00
"277","1974-05-30"," 12:15",27179.51,1974.41,2,0,332.75,1974-05-30 12:15:00
"278","1974-06-13"," 15:10",27193.63,1974.448,2,4,NA,1974-06-13 15:10:00
"279","1974-06-27"," 12:45",27207.53,1974.486,2,0,330.96,1974-06-27 12:45:00
